"filename", "language", "TypeScript React", "JSON", "TypeScript", "Markdown", "CSS", "JavaScript", "JSON with Comments", "Pug", "Properties", "HTML", "comment", "blank", "total"
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/index.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/main.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/About.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/Cart.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/Checkout.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/ContactUs.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 78
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/CustomerPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/HomePage.tsx", "TypeScript React", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 104
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/Login.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/pages/SignUp.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/types.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/utils/getInitials.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/utils/logoutUserDev.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/utils/renderProductByCategory.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 42
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/utils/showStars.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 33
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/tailwind.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 1, 11
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1632, 11384, 67, 17, 24, 34609, 50, 32, 3, 19, 796, 390, 49023
